nsweeps,pearson,slope
0,0.06299111247062683,0.01594925858080387
1,0.09052285552024841,0.0229166429489851
2,0.09724215418100357,0.02460915595293045
3,0.09561727195978165,0.024189425632357597
4,0.09787596762180328,0.024784015491604805
5,0.09834328293800354,0.024909254163503647
6,0.09763340651988983,0.024699078872799873
7,0.09566690772771835,0.024207979440689087
8,0.10046596825122833,0.025459010154008865
9,0.098662368953228,0.024964816868305206
10,0.09515878558158875,0.02407877705991268
11,0.0971793532371521,0.024609452113509178
12,0.09917790442705154,0.025141121819615364
13,0.10045502334833145,0.025411350652575493
14,0.09829460829496384,0.024904614314436913
15,0.09639491885900497,0.024380600079894066
16,0.09194733202457428,0.02324928715825081
17,0.09535776823759079,0.024140309542417526
18,0.0953376293182373,0.024149514734745026
19,0.0945994183421135,0.023916443809866905
20,0.09135941416025162,0.023095205426216125
21,0.09912587702274323,0.025096282362937927
22,0.09446145594120026,0.02386949025094509
23,0.09650713205337524,0.02438509277999401
24,0.09730618447065353,0.02458752691745758
25,0.09624139964580536,0.02432852052152157
26,0.09794545918703079,0.02476583421230316
27,0.09578157216310501,0.02420726604759693
28,0.09935209900140762,0.025115463882684708
29,0.09767000377178192,0.02471204102039337
30,0.09801854938268661,0.024786287918686867
31,0.09631474316120148,0.024341123178601265
32,0.09486047178506851,0.023947808891534805
33,0.09668777883052826,0.02445468306541443
34,0.09603884071111679,0.024300824850797653
35,0.09463760256767273,0.023932576179504395
