label:               N/A                                               
model:               bmDCA                                             
input MSA:           data/DBD_alignment.uniref90.cov80.nodupl.fasta    
alphabet:            protein                                           
sampler:             gibbs                                             
nchains:             10000                                             
nsweeps:             10                                                
lr:                  0.01                                              
pseudo count:        0.0003374957813027337                             
data type:           float32                                           
target Pearson Cij:  0.95                                              
random seed:         0                                                 

Epochs     Pearson    Slope      LL_train   LL_test    ESS        Entropy    Density    Time      
1          0.002      0.000      -128.843   nan        1.000      128.914    1.000      2.190     
2          0.009      0.002      -128.801   nan        1.000      128.744    1.000      3.678     
3          0.014      0.002      -128.759   nan        1.000      128.952    1.000      3.993     
4          0.019      0.003      -128.718   nan        1.000      128.845    1.000      4.307     
5          0.012      0.002      -128.676   nan        0.999      128.801    1.000      4.617     
6          0.018      0.003      -128.635   nan        0.999      128.704    1.000      4.935     
7          0.019      0.003      -128.593   nan        0.999      128.857    1.000      5.248     
8          0.019      0.003      -128.551   nan        0.999      128.740    1.000      5.556     
9          0.030      0.005      -128.510   nan        0.999      128.516    1.000      5.864     
10         0.028      0.005      -128.469   nan        0.999      128.707    1.000      6.175     
11         0.037      0.006      -128.428   nan        0.999      128.614    1.000      6.483     
12         0.035      0.006      -128.387   nan        0.999      128.559    1.000      6.791     
13         0.033      0.006      -128.346   nan        0.999      128.435    1.000      7.100     
14         0.048      0.008      -128.305   nan        0.999      128.522    1.000      7.408     
15         0.040      0.007      -128.264   nan        0.999      128.494    1.000      7.715     
16         0.053      0.009      -128.223   nan        0.999      128.660    1.000      8.026     
17         0.045      0.008      -128.183   nan        0.998      128.655    1.000      8.334     
18         0.060      0.010      -128.142   nan        0.998      128.524    1.000      8.642     
19         0.055      0.009      -128.101   nan        0.998      128.405    1.000      8.950     
20         0.054      0.009      -128.060   nan        0.998      128.576    1.000      9.259     
21         0.069      0.012      -128.019   nan        0.998      128.661    1.000      9.567     
22         0.066      0.011      -127.979   nan        0.998      128.681    1.000      9.877     
23         0.062      0.011      -127.938   nan        0.998      128.428    1.000      10.187    
24         0.073      0.012      -127.897   nan        0.998      128.356    1.000      10.494    
25         0.078      0.013      -127.857   nan        0.998      128.440    1.000      10.806    
26         0.078      0.013      -127.816   nan        0.998      128.400    1.000      11.116    
27         0.076      0.013      -127.776   nan        0.998      128.346    1.000      11.425    
28         0.093      0.016      -127.735   nan        0.997      128.449    1.000      11.733    
29         0.098      0.017      -127.695   nan        0.997      128.431    1.000      12.041    
30         0.098      0.016      -127.655   nan        0.997      128.433    1.000      12.351    
31         0.093      0.016      -127.615   nan        0.997      128.386    1.000      12.659    
32         0.088      0.015      -127.574   nan        0.997      128.460    1.000      12.967    
33         0.110      0.019      -127.534   nan        0.997      128.291    1.000      13.275    
34         0.120      0.020      -127.494   nan        0.997      128.360    1.000      13.584    
35         0.109      0.019      -127.455   nan        0.997      128.310    1.000      13.893    
36         0.115      0.020      -127.415   nan        0.997      128.120    1.000      14.202    
37         0.112      0.019      -127.375   nan        0.997      128.582    1.000      14.510    
38         0.105      0.018      -127.335   nan        0.997      128.306    1.000      14.818    
39         0.125      0.021      -127.295   nan        0.997      128.181    1.000      15.130    
40         0.121      0.021      -127.255   nan        0.997      128.361    1.000      15.438    
41         0.136      0.023      -127.216   nan        0.996      128.376    1.000      15.746    
42         0.129      0.022      -127.176   nan        0.996      128.108    1.000      16.055    
43         0.137      0.023      -127.136   nan        0.996      128.414    1.000      16.364    
44         0.143      0.025      -127.097   nan        0.996      128.181    1.000      16.672    
45         0.152      0.026      -127.057   nan        0.996      128.390    1.000      16.980    
46         0.150      0.026      -127.018   nan        0.996      128.181    1.000      17.288    
47         0.137      0.024      -126.978   nan        0.996      128.423    1.000      17.597    
48         0.148      0.025      -126.939   nan        0.996      128.236    1.000      17.905    
49         0.146      0.025      -126.899   nan        0.996      128.293    1.000      18.213    
50         0.145      0.025      -126.860   nan        0.996      128.210    1.000      18.522    
51         0.149      0.026      -126.821   nan        0.996      128.185    1.000      23.630    
52         0.158      0.027      -126.781   nan        0.996      128.328    1.000      23.859    
53         0.183      0.032      -126.742   nan        0.996      128.073    1.000      24.087    
54         0.169      0.029      -126.703   nan        0.995      128.150    1.000      24.315    
55         0.186      0.032      -126.664   nan        0.995      128.332    1.000      24.543    
56         0.177      0.031      -126.625   nan        0.995      128.177    1.000      24.771    
57         0.173      0.030      -126.586   nan        0.995      128.432    1.000      25.005    
58         0.190      0.033      -126.547   nan        0.995      128.312    1.000      25.234    
59         0.196      0.034      -126.508   nan        0.995      128.144    1.000      25.462    
60         0.186      0.032      -126.469   nan        0.995      128.097    1.000      25.690    
61         0.187      0.033      -126.430   nan        0.995      128.256    1.000      25.918    
62         0.203      0.035      -126.391   nan        0.995      128.125    1.000      26.148    
63         0.195      0.034      -126.353   nan        0.995      128.132    1.000      26.376    
64         0.197      0.035      -126.314   nan        0.995      128.096    1.000      26.604    
65         0.206      0.036      -126.275   nan        0.995      128.151    1.000      26.834    
66         0.219      0.039      -126.237   nan        0.995      128.266    1.000      27.062    
67         0.217      0.038      -126.198   nan        0.994      128.067    1.000      27.290    
68         0.223      0.039      -126.160   nan        0.994      128.094    1.000      27.519    
69         0.218      0.038      -126.121   nan        0.994      128.091    1.000      27.747    
70         0.229      0.040      -126.083   nan        0.994      128.115    1.000      27.975    
71         0.232      0.041      -126.045   nan        0.994      128.201    1.000      28.205    
72         0.226      0.040      -126.007   nan        0.994      128.107    1.000      28.433    
73         0.235      0.042      -125.968   nan        0.994      128.197    1.000      28.660    
74         0.233      0.041      -125.930   nan        0.994      128.086    1.000      28.890    
75         0.242      0.043      -125.891   nan        0.994      128.024    1.000      29.119    
76         0.245      0.044      -125.853   nan        0.994      128.150    1.000      29.351    
77         0.242      0.043      -125.815   nan        0.994      127.955    1.000      29.579    
78         0.265      0.048      -125.777   nan        0.994      127.988    1.000      29.809    
79         0.260      0.046      -125.739   nan        0.993      127.969    1.000      30.045    
80         0.257      0.046      -125.701   nan        0.993      128.006    1.000      30.275    
81         0.273      0.049      -125.664   nan        0.993      128.179    1.000      30.503    
82         0.256      0.046      -125.626   nan        0.993      128.041    1.000      30.732    
83         0.271      0.049      -125.588   nan        0.993      128.119    1.000      30.961    
84         0.263      0.047      -125.551   nan        0.993      128.050    1.000      31.190    
85         0.271      0.049      -125.513   nan        0.993      128.031    1.000      31.419    
86         0.285      0.052      -125.475   nan        0.993      127.918    1.000      31.646    
87         0.275      0.049      -125.438   nan        0.993      127.933    1.000      31.874    
88         0.282      0.051      -125.400   nan        0.993      128.075    1.000      32.102    
89         0.290      0.052      -125.363   nan        0.993      128.078    1.000      32.331    
90         0.293      0.054      -125.325   nan        0.992      127.952    1.000      32.560    
91         0.297      0.054      -125.288   nan        0.992      128.030    1.000      32.788    
92         0.287      0.052      -125.251   nan        0.992      128.014    1.000      33.017    
93         0.301      0.055      -125.213   nan        0.992      128.136    1.000      33.245    
94         0.303      0.056      -125.176   nan        0.992      128.003    1.000      33.473    
95         0.305      0.056      -125.139   nan        0.992      127.808    1.000      33.701    
96         0.327      0.061      -125.102   nan        0.992      128.017    1.000      33.930    
97         0.315      0.058      -125.065   nan        0.992      127.913    1.000      34.158    
98         0.312      0.058      -125.028   nan        0.992      128.135    1.000      34.386    
99         0.313      0.058      -124.991   nan        0.992      128.145    1.000      34.615    
100        0.320      0.059      -124.954   nan        0.992      127.967    1.000      34.846    
101        0.335      0.063      -124.918   nan        0.992      128.040    1.000      40.011    
102        0.328      0.061      -124.881   nan        0.991      128.094    1.000      40.239    
103        0.339      0.063      -124.844   nan        0.991      127.939    1.000      40.467    
104        0.338      0.063      -124.807   nan        0.991      127.871    1.000      40.703    
105        0.344      0.064      -124.771   nan        0.991      127.801    1.000      40.932    
106        0.337      0.063      -124.734   nan        0.991      128.124    1.000      41.161    
107        0.342      0.064      -124.697   nan        0.991      127.894    1.000      41.389    
108        0.350      0.066      -124.661   nan        0.991      127.856    1.000      41.619    
109        0.352      0.067      -124.624   nan        0.991      127.905    1.000      41.847    
110        0.354      0.067      -124.588   nan        0.991      127.791    1.000      42.076    
111        0.358      0.068      -124.551   nan        0.991      127.938    1.000      42.305    
112        0.356      0.067      -124.515   nan        0.991      127.829    1.000      42.533    
113        0.356      0.068      -124.479   nan        0.991      127.907    1.000      42.761    
114        0.366      0.070      -124.443   nan        0.990      127.834    1.000      42.990    
115        0.374      0.072      -124.407   nan        0.990      127.868    1.000      43.218    
116        0.365      0.070      -124.371   nan        0.990      127.884    1.000      43.446    
117        0.387      0.075      -124.334   nan        0.990      127.825    1.000      43.674    
118        0.393      0.077      -124.299   nan        0.990      127.894    1.000      43.903    
119        0.378      0.073      -124.263   nan        0.990      127.840    1.000      44.131    
120        0.397      0.078      -124.227   nan        0.990      127.827    1.000      44.360    
121        0.393      0.077      -124.191   nan        0.990      127.764    1.000      44.588    
122        0.409      0.081      -124.156   nan        0.990      127.717    1.000      44.817    
123        0.395      0.078      -124.120   nan        0.990      128.008    1.000      45.048    
124        0.408      0.081      -124.085   nan        0.990      127.775    1.000      45.277    
125        0.406      0.080      -124.049   nan        0.990      127.868    1.000      45.505    
126        0.403      0.079      -124.014   nan        0.990      127.853    1.000      45.734    
127        0.405      0.081      -123.978   nan        0.989      127.600    1.000      45.963    
128        0.420      0.084      -123.943   nan        0.989      127.941    1.000      46.192    
129        0.426      0.086      -123.907   nan        0.989      127.752    1.000      46.420    
130        0.425      0.086      -123.872   nan        0.989      127.700    1.000      46.649    
131        0.424      0.085      -123.837   nan        0.989      127.548    1.000      46.877    
132        0.425      0.086      -123.802   nan        0.989      127.786    1.000      47.106    
133        0.425      0.086      -123.767   nan        0.989      127.774    1.000      47.334    
134        0.426      0.086      -123.732   nan        0.989      127.919    1.000      47.563    
135        0.444      0.091      -123.697   nan        0.989      127.644    1.000      47.792    
136        0.429      0.087      -123.662   nan        0.989      127.677    1.000      48.020    
137        0.443      0.091      -123.627   nan        0.989      127.652    1.000      48.249    
138        0.443      0.091      -123.592   nan        0.989      127.601    1.000      48.478    
139        0.444      0.091      -123.557   nan        0.988      127.673    1.000      48.706    
140        0.446      0.093      -123.523   nan        0.988      127.605    1.000      48.934    
141        0.451      0.094      -123.488   nan        0.988      127.763    1.000      49.162    
142        0.457      0.095      -123.454   nan        0.988      127.633    1.000      49.391    
143        0.467      0.098      -123.419   nan        0.988      127.544    1.000      49.619    
144        0.464      0.098      -123.385   nan        0.988      127.708    1.000      49.848    
145        0.474      0.102      -123.351   nan        0.988      127.608    1.000      50.079    
146        0.472      0.100      -123.317   nan        0.988      127.822    1.000      50.307    
147        0.468      0.099      -123.283   nan        0.988      127.700    1.000      50.536    
148        0.477      0.102      -123.249   nan        0.988      127.285    1.000      50.764    
149        0.487      0.105      -123.214   nan        0.988      127.584    1.000      50.994    
150        0.488      0.107      -123.180   nan        0.988      127.407    1.000      51.223    
151        0.490      0.107      -123.147   nan        0.988      127.592    1.000      56.421    
152        0.488      0.107      -123.113   nan        0.987      127.697    1.000      56.649    
153        0.491      0.107      -123.080   nan        0.987      127.575    1.000      56.881    
154        0.488      0.107      -123.046   nan        0.987      127.561    1.000      57.111    
155        0.485      0.106      -123.012   nan        0.987      127.690    1.000      57.339    
156        0.493      0.108      -122.978   nan        0.987      127.597    1.000      57.567    
157        0.497      0.109      -122.945   nan        0.987      127.539    1.000      57.795    
158        0.510      0.113      -122.911   nan        0.987      127.423    1.000      58.024    
159        0.506      0.113      -122.878   nan        0.987      127.486    1.000      58.254    
160        0.504      0.113      -122.845   nan        0.987      127.574    1.000      58.483    
161        0.502      0.112      -122.811   nan        0.987      127.366    1.000      58.710    
162        0.513      0.116      -122.778   nan        0.986      127.570    1.000      58.939    
163        0.510      0.114      -122.745   nan        0.986      127.485    1.000      59.168    
164        0.518      0.117      -122.712   nan        0.986      127.270    1.000      59.398    
165        0.520      0.118      -122.679   nan        0.986      127.569    1.000      59.628    
166        0.514      0.117      -122.646   nan        0.986      127.467    1.000      59.859    
167        0.519      0.118      -122.613   nan        0.986      127.318    1.000      60.089    
168        0.525      0.121      -122.580   nan        0.986      127.380    1.000      60.319    
169        0.532      0.122      -122.547   nan        0.986      127.239    1.000      60.547    
170        0.524      0.119      -122.514   nan        0.986      127.308    1.000      60.775    
171        0.536      0.126      -122.481   nan        0.986      127.359    1.000      61.007    
172        0.527      0.123      -122.449   nan        0.986      127.377    1.000      61.237    
173        0.536      0.125      -122.416   nan        0.986      127.512    1.000      61.467    
174        0.537      0.126      -122.384   nan        0.985      127.287    1.000      61.703    
175        0.544      0.129      -122.351   nan        0.985      127.330    1.000      61.935    
176        0.542      0.129      -122.319   nan        0.985      127.403    1.000      62.165    
177        0.548      0.130      -122.287   nan        0.985      127.246    1.000      62.393    
178        0.539      0.128      -122.254   nan        0.985      127.376    1.000      62.621    
179        0.550      0.132      -122.222   nan        0.985      127.240    1.000      62.851    
180        0.548      0.131      -122.190   nan        0.985      127.352    1.000      63.080    
181        0.556      0.136      -122.158   nan        0.985      127.293    1.000      63.310    
182        0.559      0.135      -122.126   nan        0.985      127.054    1.000      63.539    
183        0.554      0.134      -122.094   nan        0.985      127.441    1.000      63.767    
184        0.558      0.135      -122.062   nan        0.985      127.177    1.000      63.995    
185        0.560      0.137      -122.030   nan        0.985      127.252    1.000      64.224    
186        0.556      0.135      -121.998   nan        0.984      127.246    1.000      64.453    
187        0.563      0.140      -121.967   nan        0.984      127.079    1.000      64.682    
188        0.565      0.139      -121.935   nan        0.984      127.325    1.000      64.914    
189        0.569      0.142      -121.903   nan        0.984      127.213    1.000      65.143    
190        0.571      0.143      -121.871   nan        0.984      127.221    1.000      65.371    
191        0.576      0.147      -121.840   nan        0.984      127.103    1.000      65.601    
192        0.578      0.147      -121.809   nan        0.984      127.355    1.000      65.830    
193        0.578      0.148      -121.778   nan        0.984      127.086    1.000      66.059    
194        0.581      0.147      -121.746   nan        0.984      126.992    1.000      66.287    
195        0.580      0.148      -121.715   nan        0.984      127.171    1.000      66.516    
196        0.583      0.152      -121.684   nan        0.983      127.323    1.000      66.745    
197        0.586      0.152      -121.653   nan        0.983      126.987    1.000      66.974    
198        0.586      0.153      -121.622   nan        0.983      127.082    1.000      67.204    
199        0.591      0.155      -121.591   nan        0.983      127.114    1.000      67.432    
200        0.594      0.157      -121.560   nan        0.983      127.142    1.000      67.661    
201        0.591      0.156      -121.530   nan        0.983      126.974    1.000      72.882    
202        0.591      0.156      -121.499   nan        0.983      127.169    1.000      73.112    
203        0.597      0.160      -121.468   nan        0.983      127.026    1.000      73.341    
204        0.599      0.159      -121.438   nan        0.983      126.866    1.000      73.570    
205        0.593      0.155      -121.407   nan        0.982      127.076    1.000      73.797    
206        0.600      0.160      -121.376   nan        0.982      127.059    1.000      74.026    
207        0.598      0.160      -121.346   nan        0.982      127.200    1.000      74.254    
208        0.605      0.166      -121.315   nan        0.982      127.085    1.000      74.483    
209        0.603      0.165      -121.285   nan        0.982      126.936    1.000      74.719    
210        0.606      0.164      -121.255   nan        0.982      126.858    1.000      74.952    
211        0.610      0.168      -121.225   nan        0.982      126.745    1.000      75.181    
212        0.615      0.172      -121.195   nan        0.982      126.884    1.000      75.411    
213        0.612      0.171      -121.165   nan        0.982      126.892    1.000      75.642    
214        0.622      0.177      -121.135   nan        0.982      127.084    1.000      75.873    
215        0.612      0.171      -121.106   nan        0.982      127.005    1.000      76.104    
216        0.615      0.172      -121.076   nan        0.981      126.897    1.000      76.332    
217        0.617      0.175      -121.046   nan        0.981      126.807    1.000      76.561    
218        0.615      0.174      -121.016   nan        0.981      126.831    1.000      76.790    
219        0.615      0.170      -120.986   nan        0.981      126.753    1.000      77.021    
220        0.622      0.179      -120.957   nan        0.981      126.731    1.000      77.250    
221        0.620      0.176      -120.927   nan        0.981      126.932    1.000      77.479    
222        0.624      0.181      -120.898   nan        0.981      126.673    1.000      77.709    
223        0.625      0.181      -120.868   nan        0.981      126.781    1.000      77.937    
224        0.623      0.181      -120.839   nan        0.981      126.843    1.000      78.169    
225        0.632      0.187      -120.809   nan        0.981      126.835    1.000      78.398    
226        0.629      0.182      -120.780   nan        0.981      126.646    1.000      78.626    
227        0.626      0.182      -120.751   nan        0.980      126.651    1.000      78.857    
228        0.632      0.185      -120.722   nan        0.980      126.707    1.000      79.085    
229        0.633      0.187      -120.693   nan        0.980      126.789    1.000      79.315    
230        0.635      0.188      -120.664   nan        0.980      126.774    1.000      79.547    
231        0.633      0.187      -120.635   nan        0.980      126.733    1.000      79.775    
232        0.636      0.188      -120.606   nan        0.980      126.811    1.000      80.009    
233        0.637      0.190      -120.577   nan        0.980      126.677    1.000      80.237    
234        0.639      0.193      -120.548   nan        0.980      126.670    1.000      80.466    
235        0.638      0.194      -120.520   nan        0.980      126.506    1.000      80.697    
236        0.639      0.194      -120.491   nan        0.980      126.621    1.000      80.927    
237        0.645      0.197      -120.462   nan        0.980      126.675    1.000      81.167    
238        0.641      0.198      -120.434   nan        0.980      126.682    1.000      81.406    
239        0.643      0.197      -120.405   nan        0.979      126.576    1.000      81.643    
240        0.647      0.204      -120.377   nan        0.979      126.587    1.000      81.874    
241        0.647      0.204      -120.349   nan        0.979      126.604    1.000      82.111    
242        0.654      0.205      -120.321   nan        0.979      126.541    1.000      82.340    
243        0.643      0.198      -120.293   nan        0.979      126.408    1.000      82.568    
244        0.651      0.204      -120.264   nan        0.979      126.428    1.000      82.797    
245        0.648      0.204      -120.236   nan        0.979      126.510    1.000      83.025    
246        0.654      0.208      -120.208   nan        0.979      126.624    1.000      83.254    
247        0.654      0.208      -120.180   nan        0.979      126.648    1.000      83.489    
248        0.652      0.208      -120.152   nan        0.979      126.509    1.000      83.720    
249        0.659      0.212      -120.124   nan        0.979      126.479    1.000      83.949    
250        0.658      0.213      -120.096   nan        0.979      126.382    1.000      84.183    
251        0.660      0.213      -120.069   nan        0.979      126.511    1.000      89.339    
252        0.656      0.214      -120.041   nan        0.978      126.520    1.000      89.569    
253        0.657      0.211      -120.013   nan        0.978      126.411    1.000      89.797    
254        0.656      0.215      -119.986   nan        0.978      126.481    1.000      90.031    
255        0.663      0.218      -119.958   nan        0.978      126.450    1.000      90.262    
256        0.669      0.222      -119.931   nan        0.978      126.405    1.000      90.491    
257        0.664      0.224      -119.904   nan        0.978      126.285    1.000      90.719    
258        0.664      0.224      -119.876   nan        0.978      126.362    1.000      90.950    
259        0.663      0.223      -119.849   nan        0.978      126.264    1.000      91.179    
260        0.666      0.224      -119.822   nan        0.978      126.361    1.000      91.407    
261        0.666      0.228      -119.794   nan        0.978      126.279    1.000      91.636    
262        0.670      0.226      -119.767   nan        0.978      126.244    1.000      91.869    
263        0.666      0.223      -119.741   nan        0.977      126.277    1.000      92.099    
264        0.665      0.225      -119.714   nan        0.977      126.200    1.000      92.328    
265        0.666      0.225      -119.686   nan        0.977      126.337    1.000      92.556    
266        0.672      0.231      -119.660   nan        0.977      126.261    1.000      92.785    
267        0.673      0.235      -119.633   nan        0.977      126.400    1.000      93.013    
268        0.678      0.236      -119.606   nan        0.977      126.169    1.000      93.242    
269        0.676      0.238      -119.580   nan        0.977      126.120    1.000      93.469    
270        0.674      0.236      -119.553   nan        0.977      126.281    1.000      93.698    
271        0.681      0.238      -119.527   nan        0.977      126.310    1.000      93.927    
272        0.674      0.237      -119.500   nan        0.977      126.244    1.000      94.155    
273        0.679      0.237      -119.474   nan        0.977      126.082    1.000      94.384    
274        0.675      0.240      -119.447   nan        0.976      126.090    1.000      94.613    
275        0.680      0.243      -119.421   nan        0.976      125.987    1.000      94.842    
276        0.681      0.247      -119.395   nan        0.976      125.841    1.000      95.072    
277        0.680      0.245      -119.369   nan        0.976      126.168    1.000      95.300    
278        0.682      0.246      -119.342   nan        0.976      126.222    1.000      95.528    
279        0.678      0.245      -119.316   nan        0.976      126.149    1.000      95.767    
280        0.686      0.252      -119.290   nan        0.976      125.862    1.000      95.997    
281        0.681      0.247      -119.264   nan        0.976      125.980    1.000      96.225    
282        0.687      0.250      -119.238   nan        0.976      126.025    1.000      96.454    
283        0.682      0.248      -119.212   nan        0.976      126.052    1.000      96.684    
284        0.684      0.248      -119.186   nan        0.976      126.048    1.000      96.912    
285        0.688      0.254      -119.160   nan        0.975      125.899    1.000      97.140    
286        0.686      0.257      -119.135   nan        0.975      125.968    1.000      97.370    
287        0.689      0.259      -119.109   nan        0.975      125.907    1.000      97.598    
288        0.690      0.257      -119.084   nan        0.975      125.840    1.000      97.827    
289        0.687      0.260      -119.058   nan        0.975      125.876    1.000      98.054    
290        0.691      0.257      -119.032   nan        0.975      125.945    1.000      98.285    
291        0.689      0.258      -119.007   nan        0.975      126.124    1.000      98.516    
292        0.690      0.259      -118.981   nan        0.975      125.673    1.000      98.744    
293        0.689      0.261      -118.956   nan        0.975      125.820    1.000      98.974    
294        0.692      0.265      -118.930   nan        0.975      126.016    1.000      99.204    
295        0.696      0.268      -118.905   nan        0.975      125.573    1.000      99.432    
296        0.694      0.265      -118.879   nan        0.974      125.854    1.000      99.663    
297        0.696      0.271      -118.854   nan        0.974      125.812    1.000      99.892    
298        0.700      0.271      -118.829   nan        0.974      125.657    1.000      100.123   
299        0.697      0.272      -118.804   nan        0.974      125.827    1.000      100.352   
300        0.697      0.277      -118.779   nan        0.974      125.577    1.000      100.581   
301        0.697      0.275      -118.755   nan        0.974      125.706    1.000      105.715   
302        0.698      0.275      -118.730   nan        0.974      125.590    1.000      105.944   
303        0.699      0.274      -118.705   nan        0.974      125.707    1.000      106.172   
304        0.700      0.277      -118.680   nan        0.974      125.706    1.000      106.401   
305        0.699      0.280      -118.656   nan        0.974      125.628    1.000      106.629   
306        0.700      0.279      -118.631   nan        0.974      125.525    1.000      106.858   
307        0.706      0.278      -118.606   nan        0.973      125.754    1.000      107.086   
308        0.704      0.282      -118.582   nan        0.973      125.572    1.000      107.315   
309        0.702      0.283      -118.557   nan        0.973      125.669    1.000      107.544   
310        0.701      0.286      -118.533   nan        0.973      125.588    1.000      107.773   
311        0.708      0.286      -118.509   nan        0.973      125.450    1.000      108.001   
312        0.702      0.284      -118.484   nan        0.973      125.328    1.000      108.231   
313        0.707      0.290      -118.460   nan        0.973      125.638    1.000      108.461   
314        0.708      0.293      -118.436   nan        0.973      125.408    1.000      108.692   
315        0.707      0.285      -118.412   nan        0.973      125.498    1.000      108.922   
316        0.707      0.292      -118.387   nan        0.973      125.591    1.000      109.151   
317        0.710      0.295      -118.363   nan        0.973      125.609    1.000      109.380   
318        0.707      0.292      -118.339   nan        0.973      125.431    1.000      109.619   
319        0.709      0.298      -118.315   nan        0.973      125.404    1.000      109.848   
320        0.711      0.296      -118.291   nan        0.972      125.344    1.000      110.082   
321        0.708      0.301      -118.267   nan        0.972      125.312    1.000      110.311   
322        0.709      0.294      -118.243   nan        0.972      125.459    1.000      110.539   
323        0.710      0.295      -118.220   nan        0.972      125.405    1.000      110.773   
324        0.711      0.297      -118.196   nan        0.972      125.395    1.000      111.004   
325        0.711      0.305      -118.172   nan        0.972      125.295    1.000      111.233   
326        0.713      0.307      -118.149   nan        0.972      125.287    1.000      111.461   
327        0.714      0.303      -118.125   nan        0.972      125.397    1.000      111.689   
328        0.711      0.303      -118.101   nan        0.972      125.340    1.000      111.918   
329        0.712      0.305      -118.078   nan        0.972      125.461    1.000      112.147   
330        0.715      0.310      -118.054   nan        0.972      125.266    1.000      112.376   
331        0.716      0.308      -118.031   nan        0.972      125.323    1.000      112.604   
332        0.714      0.309      -118.008   nan        0.971      125.308    1.000      112.832   
333        0.716      0.309      -117.984   nan        0.971      125.459    1.000      113.060   
334        0.719      0.312      -117.961   nan        0.971      125.171    1.000      113.289   
335        0.717      0.311      -117.938   nan        0.971      125.066    1.000      113.519   
336        0.719      0.318      -117.914   nan        0.971      125.249    1.000      113.748   
337        0.719      0.313      -117.891   nan        0.971      125.131    1.000      113.977   
338        0.720      0.317      -117.868   nan        0.971      125.139    1.000      114.206   
339        0.717      0.321      -117.845   nan        0.971      125.129    1.000      114.435   
340        0.721      0.320      -117.822   nan        0.971      125.150    1.000      114.665   
341        0.718      0.313      -117.799   nan        0.971      125.272    1.000      114.895   
342        0.720      0.318      -117.776   nan        0.971      125.074    1.000      115.126   
343        0.722      0.321      -117.753   nan        0.971      125.121    1.000      115.355   
344        0.722      0.324      -117.730   nan        0.970      125.175    1.000      115.583   
345        0.722      0.321      -117.707   nan        0.970      125.149    1.000      115.811   
346        0.723      0.326      -117.684   nan        0.970      125.052    1.000      116.042   
347        0.722      0.321      -117.661   nan        0.970      124.982    1.000      116.271   
348        0.724      0.323      -117.639   nan        0.970      125.111    1.000      116.500   
349        0.722      0.330      -117.616   nan        0.970      124.954    1.000      116.728   
350        0.725      0.325      -117.593   nan        0.970      124.963    1.000      116.956   
351        0.724      0.334      -117.570   nan        0.970      124.821    1.000      122.151   
352        0.722      0.330      -117.548   nan        0.970      124.938    1.000      122.380   
353        0.729      0.330      -117.525   nan        0.970      124.770    1.000      122.608   
354        0.729      0.338      -117.503   nan        0.970      124.763    1.000      122.836   
355        0.727      0.339      -117.480   nan        0.970      124.824    1.000      123.066   
356        0.727      0.339      -117.458   nan        0.969      124.843    1.000      123.295   
357        0.727      0.335      -117.436   nan        0.969      124.907    1.000      123.523   
358        0.729      0.343      -117.413   nan        0.969      124.820    1.000      123.751   
359        0.731      0.344      -117.391   nan        0.969      125.057    1.000      123.979   
360        0.729      0.338      -117.369   nan        0.969      124.795    1.000      124.209   
361        0.731      0.337      -117.346   nan        0.969      124.836    1.000      124.437   
362        0.729      0.344      -117.324   nan        0.969      124.878    1.000      124.665   
363        0.730      0.342      -117.302   nan        0.969      124.796    1.000      124.901   
364        0.730      0.344      -117.280   nan        0.969      124.742    1.000      125.131   
365        0.732      0.345      -117.258   nan        0.969      124.734    1.000      125.360   
366        0.731      0.343      -117.236   nan        0.969      124.929    1.000      125.588   
367        0.733      0.346      -117.214   nan        0.969      124.819    1.000      125.815   
368        0.732      0.357      -117.193   nan        0.968      124.698    1.000      126.048   
369        0.735      0.348      -117.171   nan        0.968      124.753    1.000      126.276   
370        0.734      0.347      -117.149   nan        0.968      124.811    1.000      126.505   
371        0.736      0.355      -117.127   nan        0.968      124.648    1.000      126.732   
372        0.737      0.355      -117.105   nan        0.968      124.560    1.000      126.961   
373        0.736      0.349      -117.084   nan        0.968      124.695    1.000      127.189   
374        0.736      0.358      -117.062   nan        0.968      124.511    1.000      127.418   
375        0.739      0.353      -117.041   nan        0.968      124.656    1.000      127.646   
376        0.738      0.353      -117.019   nan        0.968      124.508    1.000      127.873   
377        0.736      0.355      -116.997   nan        0.968      124.616    1.000      128.103   
378        0.740      0.354      -116.975   nan        0.967      124.740    1.000      128.333   
379        0.736      0.357      -116.954   nan        0.967      124.705    1.000      128.562   
380        0.738      0.360      -116.933   nan        0.967      124.514    1.000      128.792   
381        0.740      0.365      -116.911   nan        0.967      124.445    1.000      129.020   
382        0.741      0.364      -116.890   nan        0.967      124.504    1.000      129.249   
383        0.738      0.366      -116.868   nan        0.967      124.502    1.000      129.477   
384        0.740      0.369      -116.847   nan        0.967      124.641    1.000      129.711   
385        0.741      0.366      -116.826   nan        0.967      124.522    1.000      129.943   
386        0.741      0.365      -116.805   nan        0.967      124.424    1.000      130.173   
387        0.745      0.366      -116.783   nan        0.967      124.346    1.000      130.405   
388        0.741      0.369      -116.762   nan        0.967      124.441    1.000      130.635   
389        0.741      0.367      -116.741   nan        0.967      124.540    1.000      130.864   
390        0.741      0.373      -116.720   nan        0.967      124.311    1.000      131.094   
391        0.742      0.371      -116.699   nan        0.967      124.290    1.000      131.323   
392        0.743      0.372      -116.678   nan        0.967      124.617    1.000      131.552   
393        0.747      0.373      -116.656   nan        0.966      124.489    1.000      131.781   
