nsweeps,pearson,slope
0,0.2198469489812851,0.15883256494998932
1,0.5127044320106506,0.3741990625858307
2,0.6240383982658386,0.47353073954582214
3,0.696182906627655,0.5676372647285461
4,0.713847815990448,0.5954650640487671
5,0.748569130897522,0.6540789008140564
6,0.7579232454299927,0.6745765209197998
7,0.7657878994941711,0.6834898591041565
8,0.7714046835899353,0.703066885471344
9,0.7893969416618347,0.7492302060127258
10,0.7952336072921753,0.7721008658409119
11,0.8005481362342834,0.7859325408935547
12,0.8066939115524292,0.7962286472320557
13,0.8079906702041626,0.8028231859207153
14,0.8123027086257935,0.8115074634552002
15,0.8090929388999939,0.8108721375465393
16,0.808545708656311,0.8069446682929993
17,0.8136388659477234,0.8216229677200317
18,0.8169666528701782,0.8284305930137634
19,0.8180490136146545,0.8362924456596375
20,0.8191836476325989,0.8360447883605957
21,0.8221563100814819,0.8424150943756104
22,0.817841649055481,0.8341226577758789
23,0.8184787034988403,0.8299744129180908
24,0.8215442895889282,0.8352323770523071
25,0.8232178688049316,0.8474807739257812
26,0.8250637650489807,0.8652157187461853
27,0.821578860282898,0.8494194746017456
28,0.8270336389541626,0.8641155958175659
29,0.8264340758323669,0.8668217062950134
30,0.8265337347984314,0.8583544492721558
31,0.8255600929260254,0.8539298176765442
32,0.8249700665473938,0.845689058303833
33,0.8259256482124329,0.8533492684364319
34,0.8231118321418762,0.8447902798652649
35,0.8273906707763672,0.8611335158348083
36,0.8233829140663147,0.8518123626708984
37,0.8220179677009583,0.8444607853889465
38,0.8252822756767273,0.8497210144996643
39,0.8241069912910461,0.8445130586624146
40,0.8240686058998108,0.8421862721443176
41,0.823393702507019,0.8455468416213989
42,0.8258883357048035,0.8513522744178772
43,0.8198885321617126,0.8332787156105042
44,0.8166596293449402,0.8208920955657959
45,0.8199586868286133,0.8226531147956848
46,0.818305253982544,0.8238438963890076
47,0.8186110854148865,0.8257168531417847
48,0.8189565539360046,0.8263862133026123
49,0.8135448694229126,0.8157757520675659
50,0.8147331476211548,0.8135148286819458
51,0.8146429061889648,0.8152925372123718
52,0.8159024119377136,0.8197764754295349
53,0.8180890083312988,0.8158174157142639
54,0.820357084274292,0.8315731287002563
55,0.8201632499694824,0.8329841494560242
56,0.8197426199913025,0.8266059756278992
57,0.8232859373092651,0.8453128337860107
58,0.8236542344093323,0.8455597162246704
59,0.8247886896133423,0.8506951332092285
60,0.8281475305557251,0.8604832291603088
61,0.8264948129653931,0.8453774452209473
62,0.8273124694824219,0.8493281006813049
63,0.8299887776374817,0.8639976382255554
64,0.8320651650428772,0.8738229870796204
65,0.8320608735084534,0.8815687298774719
66,0.834427535533905,0.8921363949775696
67,0.8316695690155029,0.8812127113342285
68,0.832260012626648,0.8823132514953613
69,0.8314691781997681,0.8807901740074158
70,0.8330566883087158,0.8935773372650146
71,0.8316130042076111,0.8766770958900452
72,0.8300516605377197,0.8703804612159729
73,0.8320468664169312,0.876072108745575
74,0.8293085694313049,0.8660938143730164
75,0.8299126029014587,0.8678151965141296
76,0.8331466317176819,0.8806160092353821
77,0.8322638869285583,0.8835784792900085
78,0.8347399830818176,0.8957117199897766
79,0.8301815390586853,0.8789419531822205
80,0.8299544453620911,0.8728326559066772
81,0.829971432685852,0.8655030131340027
82,0.8324965834617615,0.8875396847724915
83,0.8294340968132019,0.8713013529777527
84,0.8292198181152344,0.8754479289054871
85,0.8300104141235352,0.8720291256904602
86,0.8274914026260376,0.8650695085525513
87,0.8280201554298401,0.8564272522926331
88,0.8302894830703735,0.865810751914978
89,0.8300743699073792,0.8675576448440552
90,0.8345875144004822,0.8774799108505249
91,0.8313087224960327,0.8653215765953064
92,0.8363330960273743,0.8788271546363831
93,0.8319821357727051,0.8655745387077332
94,0.8286812901496887,0.8544778227806091
95,0.829789936542511,0.8612669110298157
96,0.8309063911437988,0.8606610298156738
97,0.8282381296157837,0.859289824962616
98,0.8293889760971069,0.8676552772521973
99,0.8328118324279785,0.8770171403884888
100,0.8319570422172546,0.8727794885635376
101,0.8294498324394226,0.8689802289009094
102,0.8334542512893677,0.8839857578277588
103,0.8327886462211609,0.8768422603607178
104,0.8336883783340454,0.8778987526893616
105,0.8331357836723328,0.8824499249458313
106,0.831782877445221,0.880174458026886
107,0.8314616084098816,0.8765864372253418
108,0.8313380479812622,0.8786143064498901
109,0.8311256766319275,0.8742936849594116
110,0.8336033821105957,0.8766583204269409
111,0.8304972052574158,0.8681532740592957
112,0.8301710486412048,0.8700568079948425
113,0.8308921456336975,0.8701634407043457
114,0.8286092877388,0.8559759259223938
115,0.8304315209388733,0.8613255023956299
116,0.8283612728118896,0.8620505928993225
117,0.8309217691421509,0.8701531887054443
118,0.8327681422233582,0.8862876892089844
119,0.8297315835952759,0.8699163794517517
120,0.8310974836349487,0.8672456741333008
121,0.8301652073860168,0.876352071762085
122,0.8270353674888611,0.8597527742385864
123,0.8258569836616516,0.8657126426696777
124,0.8268395662307739,0.8608680963516235
125,0.8300657868385315,0.8668832182884216
126,0.8305644989013672,0.8625077605247498
127,0.8305650949478149,0.8632224798202515
128,0.8314388990402222,0.8638089895248413
129,0.8302800059318542,0.8664150238037109
130,0.8297460675239563,0.8736296892166138
131,0.8300876021385193,0.8697589635848999
132,0.8311024904251099,0.8704269528388977
133,0.8328739404678345,0.8777092695236206
134,0.8357019424438477,0.8959124088287354
135,0.8360732793807983,0.8973808884620667
136,0.8367268443107605,0.9019743800163269
137,0.8356571197509766,0.8997349739074707
138,0.8392671346664429,0.9175167083740234
139,0.8368024230003357,0.9007387161254883
140,0.8383393883705139,0.9149052500724792
141,0.8377647995948792,0.907930850982666
142,0.8350849747657776,0.9033159613609314
143,0.8336406350135803,0.8978860974311829
144,0.8343608379364014,0.8913136124610901
145,0.8323512077331543,0.8849904537200928
146,0.8315558433532715,0.8740441799163818
147,0.8309870362281799,0.8736922144889832
148,0.831598162651062,0.8763754963874817
149,0.826363742351532,0.8587175011634827
150,0.8268917798995972,0.8639377951622009
151,0.826824963092804,0.8670169115066528
152,0.8305590152740479,0.8842026591300964
153,0.832461416721344,0.8846843242645264
154,0.8334766626358032,0.878842830657959
155,0.8280264139175415,0.8612281084060669
156,0.8298757076263428,0.8649698495864868
157,0.832467257976532,0.8787845373153687
158,0.8273209929466248,0.8555095791816711
159,0.8305845856666565,0.8758493065834045
160,0.8310655951499939,0.8832990527153015
161,0.8332151174545288,0.8917393684387207
162,0.8321430087089539,0.8810786604881287
163,0.8312002420425415,0.8724024295806885
164,0.8291289806365967,0.8667361736297607
165,0.8287225365638733,0.8536560535430908
166,0.8270999193191528,0.8543756008148193
167,0.82682865858078,0.8595948815345764
168,0.8317099809646606,0.8810327053070068
169,0.8307337164878845,0.8843015432357788
170,0.8328308463096619,0.8859315514564514
171,0.8305549025535583,0.8832921385765076
172,0.8278554081916809,0.8693942427635193
173,0.8314008116722107,0.8805791735649109
174,0.8330883383750916,0.8767743110656738
175,0.8352017402648926,0.8945427536964417
176,0.8320905566215515,0.887241542339325
177,0.831664502620697,0.8783183693885803
178,0.830129086971283,0.8645284175872803
179,0.8304365277290344,0.8700677752494812
180,0.8339964747428894,0.8880751729011536
181,0.8310353755950928,0.8739400506019592
182,0.8308700919151306,0.8800253868103027
183,0.8289295434951782,0.8683807253837585
184,0.8318518400192261,0.8853560090065002
185,0.8283663988113403,0.8710694313049316
186,0.8317670226097107,0.8821803331375122
187,0.832276463508606,0.884752631187439
188,0.8304315805435181,0.8793337345123291
189,0.8310529589653015,0.8816120624542236
190,0.8359699845314026,0.9039129018783569
191,0.8333023190498352,0.8964505791664124
192,0.8324189186096191,0.8832271099090576
193,0.82991623878479,0.8752269148826599
194,0.8290325403213501,0.8666375875473022
195,0.8273321986198425,0.8573771119117737
196,0.8224046230316162,0.8458085656166077
197,0.8235945105552673,0.8424491882324219
198,0.8258025050163269,0.8491507768630981
199,0.8290998339653015,0.864264965057373
200,0.8271170854568481,0.8583992123603821
201,0.825068473815918,0.8609447479248047
202,0.8227047324180603,0.8396058082580566
203,0.8202375769615173,0.8323837518692017
204,0.8242447972297668,0.8465564846992493
205,0.8305336236953735,0.868139922618866
206,0.8301358819007874,0.8665399551391602
207,0.8305750489234924,0.8695175647735596
208,0.8314825892448425,0.8682264685630798
209,0.8320872783660889,0.8759147524833679
210,0.8336396813392639,0.8795599937438965
211,0.8360235691070557,0.8907172679901123
212,0.8369684815406799,0.8890174031257629
213,0.8342517018318176,0.8872467875480652
214,0.8350033760070801,0.8874660730361938
215,0.8362906575202942,0.8881012201309204
216,0.83193439245224,0.8765500783920288
217,0.8332827091217041,0.8772295117378235
218,0.8319708704948425,0.8740323185920715
219,0.8336849808692932,0.8813424706459045
220,0.831619381904602,0.8733505606651306
221,0.8347567915916443,0.8832746148109436
222,0.8358832001686096,0.886874258518219
223,0.8375210165977478,0.8966427445411682
224,0.8323245048522949,0.8839069604873657
225,0.8334817886352539,0.8803573846817017
226,0.8353859782218933,0.8920132517814636
227,0.8343276381492615,0.8899055123329163
228,0.8358010053634644,0.8916396498680115
229,0.83845055103302,0.8972756862640381
230,0.8401819467544556,0.9066358208656311
231,0.8412599563598633,0.9106208682060242
232,0.8416284918785095,0.9182872772216797
233,0.8378667235374451,0.9032954573631287
234,0.8385487198829651,0.9036490321159363
235,0.8400814533233643,0.9035088419914246
236,0.837550699710846,0.9015613198280334
237,0.836963951587677,0.8989017605781555
238,0.8344003558158875,0.8844160437583923
239,0.8355830907821655,0.8823219537734985
240,0.8371086716651917,0.8871195912361145
241,0.8353028893470764,0.8747316002845764
242,0.8372442722320557,0.8893860578536987
243,0.8371613025665283,0.8970415592193604
244,0.8355481028556824,0.8946560025215149
245,0.8322771191596985,0.8867645263671875
246,0.8337064385414124,0.8897284865379333
247,0.8372613191604614,0.9028254151344299
248,0.8337898850440979,0.8900900483131409
249,0.8326787352561951,0.8848231434822083
250,0.8322871923446655,0.8816033005714417
251,0.838911771774292,0.9040831327438354
252,0.8347437381744385,0.8918035626411438
253,0.835123598575592,0.8968073725700378
254,0.835345447063446,0.8859370946884155
255,0.832046389579773,0.8744381070137024
256,0.8335288763046265,0.8801145553588867
257,0.833687424659729,0.8783925771713257
258,0.8344608545303345,0.883678674697876
259,0.8328101634979248,0.8723981976509094
260,0.8348283767700195,0.8800514936447144
261,0.8307982087135315,0.8692715167999268
262,0.8335075378417969,0.8838929533958435
263,0.8320226669311523,0.8822158575057983
264,0.8381491899490356,0.8989889025688171
265,0.8332237005233765,0.8805584907531738
266,0.8345775604248047,0.8818907737731934
267,0.8356518745422363,0.8827372193336487
268,0.8370474576950073,0.8883362412452698
269,0.8329977989196777,0.8744946122169495
270,0.833997368812561,0.8799587488174438
271,0.8322669267654419,0.8731976747512817
272,0.829961359500885,0.8689389824867249
273,0.8322328329086304,0.8773660063743591
274,0.8343340754508972,0.8779826760292053
275,0.8339805006980896,0.8789541125297546
276,0.834884762763977,0.8800756335258484
277,0.8320551514625549,0.8778083920478821
278,0.8340393304824829,0.8718411922454834
279,0.8350610733032227,0.8778520226478577
280,0.8354231119155884,0.8788261413574219
281,0.8323029279708862,0.8804678320884705
282,0.8333190083503723,0.8798658847808838
283,0.8343052268028259,0.8810694217681885
284,0.8288697600364685,0.8696854710578918
285,0.8318973779678345,0.8747124075889587
286,0.8337429165840149,0.8842650651931763
287,0.8323881030082703,0.884528398513794
288,0.8317407965660095,0.8747414350509644
289,0.8324064612388611,0.8817933797836304
290,0.8318129777908325,0.8865280151367188
291,0.8363848924636841,0.902270495891571
292,0.8362458348274231,0.9004315137863159
293,0.832979142665863,0.8992428779602051
294,0.8364338874816895,0.8950510025024414
295,0.8329812288284302,0.8763608336448669
296,0.8337013721466064,0.8819308876991272
297,0.8294933438301086,0.8750884532928467
298,0.8318309783935547,0.8761839270591736
299,0.8337548971176147,0.8847801089286804
300,0.8356409668922424,0.8874155282974243
301,0.833925724029541,0.8856443166732788
302,0.8330024480819702,0.8770573735237122
303,0.8318930864334106,0.8770960569381714
304,0.8314531445503235,0.8776412606239319
305,0.837230384349823,0.8913659453392029
306,0.8358016014099121,0.8943600058555603
307,0.8362410664558411,0.8879773616790771
308,0.8337162137031555,0.886104166507721
309,0.8355892300605774,0.8822916150093079
310,0.8347025513648987,0.8793741464614868
311,0.8395227193832397,0.9058626294136047
312,0.8355433940887451,0.8920391798019409
313,0.8375402092933655,0.9039924740791321
314,0.8367154598236084,0.897619903087616
315,0.8325081467628479,0.8797973394393921
316,0.8315317630767822,0.8749394416809082
317,0.8287382125854492,0.8683496117591858
318,0.8277862071990967,0.864323079586029
319,0.8308308720588684,0.8754571080207825
320,0.8318666815757751,0.8673093914985657
321,0.8313827514648438,0.8725904822349548
322,0.8329604864120483,0.8761146664619446
323,0.8355347514152527,0.8859335780143738
324,0.8340223431587219,0.8850402235984802
325,0.8369637131690979,0.8924896717071533
326,0.8345520496368408,0.8838340044021606
327,0.8345487713813782,0.8910431265830994
328,0.8336222171783447,0.8788212537765503
329,0.833437979221344,0.8734069466590881
330,0.8365600109100342,0.885555624961853
331,0.8368831872940063,0.8925488591194153
332,0.8348190188407898,0.8790953159332275
333,0.8357401490211487,0.889400064945221
334,0.8329744935035706,0.8856367468833923
335,0.8322299718856812,0.8785242438316345
336,0.8349844813346863,0.887708306312561
337,0.8328142166137695,0.8834124207496643
338,0.8355379700660706,0.8947582244873047
339,0.8343105912208557,0.8871614336967468
340,0.8339671492576599,0.8876610994338989
341,0.8335269093513489,0.8808382153511047
342,0.8325328230857849,0.8738924264907837
343,0.8341793417930603,0.8810064792633057
344,0.838954508304596,0.8888742327690125
345,0.8376050591468811,0.8930928707122803
346,0.8335096836090088,0.8794095516204834
347,0.836515486240387,0.8894830346107483
348,0.8376596570014954,0.8929903507232666
349,0.835621178150177,0.8844261169433594
350,0.8376061916351318,0.8873233795166016
351,0.8357877731323242,0.8801973462104797
352,0.833415687084198,0.8727384805679321
353,0.8337315320968628,0.8776688575744629
354,0.8322228193283081,0.8798602223396301
355,0.8319465517997742,0.876025915145874
356,0.8331428170204163,0.8832823634147644
357,0.8333474397659302,0.8847139477729797
358,0.8339253664016724,0.8847097158432007
359,0.8383925557136536,0.9047509431838989
360,0.8388029336929321,0.8997088670730591
361,0.8349829316139221,0.8871380090713501
362,0.8346832990646362,0.8853598833084106
363,0.836699366569519,0.8928653001785278
364,0.8358817100524902,0.8915700912475586
365,0.8350890278816223,0.8853796720504761
366,0.8362873196601868,0.8886806964874268
367,0.8383960723876953,0.8992708325386047
368,0.8362346291542053,0.8909330368041992
369,0.8344273567199707,0.8844700455665588
370,0.8351289629936218,0.881456196308136
371,0.831153929233551,0.8662223815917969
372,0.8284578919410706,0.86385577917099
373,0.829729437828064,0.8665674924850464
374,0.8298036456108093,0.8656161427497864
375,0.8282789587974548,0.871375322341919
376,0.8275361657142639,0.8634329438209534
377,0.8298285007476807,0.8697800040245056
378,0.8325764536857605,0.8795394897460938
379,0.828178346157074,0.8609797358512878
380,0.8297837376594543,0.8664498329162598
381,0.8282071352005005,0.8587971329689026
382,0.8300735354423523,0.8719368577003479
383,0.832525372505188,0.8849080801010132
384,0.8303399682044983,0.8712782263755798
385,0.8325068950653076,0.8863131999969482
386,0.8367745280265808,0.8961244225502014
387,0.8347272872924805,0.886482298374176
388,0.8341959714889526,0.8897057175636292
389,0.8355826139450073,0.884968638420105
390,0.833494246006012,0.877476692199707
391,0.8295161128044128,0.8664758205413818
392,0.8312249183654785,0.8687272071838379
393,0.8311024904251099,0.868272602558136
394,0.8294867873191833,0.8676061034202576
395,0.8306161761283875,0.8721502423286438
396,0.8306994438171387,0.8650469779968262
397,0.8311246633529663,0.8687518239021301
398,0.8300266265869141,0.8696750402450562
399,0.8314011096954346,0.8800185322761536
400,0.8320724964141846,0.8880782127380371
401,0.8348397612571716,0.8916753530502319
402,0.834243893623352,0.8868668079376221
403,0.8358891010284424,0.8976213932037354
404,0.8378109931945801,0.900740921497345
405,0.838620126247406,0.9062384366989136
406,0.8381091952323914,0.8986834287643433
407,0.8352515697479248,0.8984877467155457
408,0.8372046947479248,0.9019560217857361
409,0.8401088118553162,0.9158448576927185
410,0.8381600379943848,0.9096635580062866
411,0.8363077044487,0.9013881087303162
412,0.8361570835113525,0.9048749804496765
413,0.8344253897666931,0.8950294256210327
414,0.8379127383232117,0.8920792937278748
415,0.8351496458053589,0.8907307982444763
416,0.8368322253227234,0.8950743675231934
417,0.8374268412590027,0.8999682068824768
418,0.8401626348495483,0.9086329340934753
419,0.8381257057189941,0.8969144225120544
420,0.8370546698570251,0.8906179666519165
421,0.8390279412269592,0.9007642269134521
422,0.8393807411193848,0.908531129360199
423,0.8406934142112732,0.918572187423706
424,0.8367058038711548,0.8966739177703857
425,0.8345447182655334,0.8838750123977661
426,0.8339915871620178,0.8859479427337646
427,0.8357946276664734,0.8910690546035767
428,0.8378167748451233,0.8860905766487122
429,0.8330537676811218,0.8754818439483643
430,0.834985077381134,0.8849056363105774
431,0.8335011601448059,0.8774746060371399
432,0.8297449350357056,0.8710282444953918
433,0.8322539925575256,0.8659248352050781
434,0.8338441848754883,0.8748338222503662
435,0.833854079246521,0.8855404853820801
436,0.8321480751037598,0.8771257996559143
437,0.8352286219596863,0.8803648352622986
438,0.8336299657821655,0.8792356252670288
439,0.8338832259178162,0.8833515048027039
440,0.8332787156105042,0.8794254064559937
441,0.8333964943885803,0.8806675672531128
442,0.834631085395813,0.8845306038856506
443,0.8321792483329773,0.8843486905097961
444,0.8363648056983948,0.8950024843215942
