seqid_t,std_seqid_t,seqid_t_t_half,std_seqid_t_t_half,t_half
0.36397236585617065,0.0006177654722705483,0.701667070388794,0.0005061984993517399,1
0.3648920953273773,0.0006129466346465051,0.5268512964248657,0.0006719196098856628,2
0.3660052418708801,0.0006195805035531521,0.4885644316673279,0.0006838215631432831,3
0.3659999966621399,0.0006150457775220275,0.4789578914642334,0.0006838847766630352,4
0.36672893166542053,0.0005989882629364729,0.47112369537353516,0.0006904934416525066,5
0.3663855195045471,0.0005990967038087547,0.4635249674320221,0.000707601779140532,6
0.36759209632873535,0.0005942777497693896,0.44660523533821106,0.000706081569660455,7
0.3668999969959259,0.0005926234880462289,0.44019076228141785,0.0007061317446641624,8
0.3670644760131836,0.0005985835450701416,0.4341881573200226,0.000704626610968262,9
0.36673420667648315,0.0005917102098464966,0.429467111825943,0.0007069846615195274,10
0.36708420515060425,0.0006009047501720488,0.42690393328666687,0.000709771120455116,11
0.3666118383407593,0.0006019659340381622,0.4242657721042633,0.0007106272387318313,12
0.367374986410141,0.000594495446421206,0.42249342799186707,0.0007099854410625994,13
0.3669513165950775,0.0005948047037236392,0.4197697043418884,0.0007109661237336695,14
0.36697763204574585,0.0005914834327995777,0.41771841049194336,0.0007085607503540814,15
0.3673894703388214,0.0006022974266670644,0.4160710275173187,0.0007037828327156603,16
0.3674197196960449,0.0005902532138861716,0.4136170744895935,0.0007108001154847443,17
0.366967111825943,0.0006010749493725598,0.4119131565093994,0.0007012130226939917,18
0.368353933095932,0.0005963027942925692,0.4101039469242096,0.0007026951643638313,19
0.3683236837387085,0.0005911273183301091,0.40854209661483765,0.0007019119802862406,20
0.36801183223724365,0.0006098976009525359,0.40734604001045227,0.0007004029466770589,21
0.3684749901294708,0.0006014550453983247,0.4056842029094696,0.0006949980743229389,22
0.367801308631897,0.0005862851976417005,0.4046684205532074,0.0006936251884326339,23
0.3679184317588806,0.0006070977542549372,0.4036039412021637,0.0006939656450413167,24
0.3680868446826935,0.0005971192149445415,0.40160396695137024,0.0006884012836962938,25
0.36662763357162476,0.0006042759632691741,0.4007210433483124,0.0006902706227265298,26
0.3682986795902252,0.0006036580307409167,0.4008302390575409,0.0006861631409265101,27
