seqid_t,std_seqid_t,seqid_t_t_half,std_seqid_t_t_half,t_half
0.44632890820503235,0.0009595007868483663,0.8613026142120361,0.0004833063285332173,1
0.45654210448265076,0.0011406370904296637,0.8438947796821594,0.0005740945343859494,2
0.4589802622795105,0.0012323524570092559,0.8476986289024353,0.0006241065566428006,3
0.4583236873149872,0.001258338801562786,0.8676314949989319,0.0006191207212395966,4
0.4563486874103546,0.001292311237193644,0.8749433755874634,0.0006179027841426432,5
0.4570302367210388,0.0013256006641313434,0.8795934319496155,0.0006164740188978612,6
0.4561026394367218,0.0013220289256423712,0.8771868348121643,0.0006416947580873966,7
0.4566684067249298,0.0013445415534079075,0.8798052072525024,0.0006459660362452269,8
0.4577842056751251,0.0013635903596878052,0.8796118497848511,0.0006634540040977299,9
0.4558684229850769,0.0013718879781663418,0.8793104887008667,0.0006742661353200674,10
0.45798683166503906,0.0014047329314053059,0.8794236779212952,0.0006851850776001811,11
0.4557618200778961,0.0013885918306186795,0.8806368112564087,0.0006898329011164606,12
0.45707234740257263,0.0014035555068403482,0.8799710869789124,0.000700426462572068,13
0.45994603633880615,0.0014585527824237943,0.8813512921333313,0.0007036147289909422,14
0.4567381739616394,0.0014228930231183767,0.882443368434906,0.0007035383023321629,15
0.4576578736305237,0.001430284813977778,0.8834012746810913,0.0006998063763603568,16
0.4580552577972412,0.001415063627064228,0.8831933736801147,0.0007087886915542185,17
0.4577276408672333,0.0014425342669710517,0.8852420449256897,0.0006983645725995302,18
0.4579184353351593,0.0014347318792715669,0.8852407336235046,0.0007073042797856033,19
0.45996183156967163,0.0014902678085491061,0.886400043964386,0.0007063281373120844,20
0.4569091796875,0.0014450231101363897,0.8858250379562378,0.0007139550289139152,21
0.45833683013916016,0.001468195696361363,0.886455237865448,0.0007068219711072743,22
0.45643022656440735,0.0014294887660071254,0.8868184685707092,0.0007065497920848429,23
0.4565078914165497,0.0014510388718917966,0.8876710534095764,0.0007051981519907713,24
0.458661824464798,0.0014702986227348447,0.8878776431083679,0.0007100371294654906,25
0.458110511302948,0.001465192181058228,0.8878605365753174,0.0007129227160476148,26
0.4573829174041748,0.001453674165531993,0.8878499865531921,0.0007054070592857897,27
